run_id,date,symbol,price,action,signal,position,position_change,daily_pnl,trade_cost,equity,equity_pct,daily_return,ret_5d_forecast,ret_60d_forecast,ret_1d,ret_5d,vol_10d,vol_20d,dist_sma_20,dist_sma_50,dist_sma_200,vol_z_20,rsi_14,macd_line,macd_signal,macd_hist,atr_14,vol_ratio,vol_trend,adx_14,bb_position,range_norm,ret_skew,obv_ratio
backtest_SPY_advanced_20251224_193349,2020-01-02,SPY,324.87,0,FLAT,0.0,0.0,0.0,0.0,1.0,100.0,0.0,0.5479114722812151,-19.460091728999295,-0.007572259673099935,0.005479114722812151,0.0060835916387051965,0.00528951607319964,0.00855856547967727,0.01991207464921148,0.009798161915814157,0.757219243976007,0.3720528929219455,0.0,0.0,0.0,0.006797527787598402,0.9999981094714608,-0.027411107286284486,0.37841975049091686,0.5359530626144938,0.5524109008884583,-0.4895925928391767,0.42127268704849713
backtest_SPY_advanced_20251224_193349,2020-01-03,SPY,322.41,0,FLAT,0.0,0.0,-0.0,0.0,1.0,100.0,-0.7572259673099946,1.0235414534288445,-20.05520920566981,-0.007572259673099935,0.005479114722812151,0.0060835916387051965,0.00528951607319964,0.00855856547967727,0.01991207464921148,0.009798161915814157,0.757219243976007,0.3720528929219455,-0.06086638635256788,-0.012173277270513578,-0.0486931090820543,0.006797527787598402,0.9999981094714608,-0.027411107286284486,0.37841975049091686,0.5359530626144938,0.5524109008884583,-0.4895925928391767,0.42127268704849713
backtest_SPY_advanced_20251224_193349,2020-01-06,SPY,323.64,0,FLAT,0.0,0.0,0.0,0.0,1.0,100.0,0.3815018144598372,1.3317266098133773,-23.943270300333698,0.003815018144598392,0.005479114722812151,0.0060835916387051965,0.00528951607319964,0.00855856547967727,0.01991207464921148,0.009798161915814157,0.757219243976007,0.3720528929219455,-0.07713263647102124,-0.025128137292440025,-0.05200449917858122,0.006797527787598402,0.9999981094714608,-0.027411107286284486,0.37841975049091686,0.5359530626144938,0.5524109008884583,-0.4895925928391767,0.42127268704849713
backtest_SPY_advanced_20251224_193349,2020-01-07,SPY,322.73,0,FLAT,0.0,0.0,-0.0,0.0,1.0,100.0,-0.2811766159930689,1.4625228519195455,-21.96882843243578,-0.0028117661599307286,0.005479114722812151,0.0060835916387051965,0.00528951607319964,0.00855856547967727,0.01991207464921148,0.009798161915814157,0.757219243976007,0.3720528929219455,-0.1119238288432999,-0.0425439585386542,-0.06937987030464571,0.006797527787598402,0.9999981094714608,-0.027411107286284486,0.37841975049091686,0.5359530626144938,0.5524109008884583,-0.4895925928391767,0.42127268704849713
backtest_SPY_advanced_20251224_193349,2020-01-08,SPY,324.45,0,FLAT,0.0,0.0,0.0,0.0,1.0,100.0,0.5329532426486445,1.1527199876714578,-23.504392048081368,0.005329532426486372,0.005479114722812151,0.0060835916387051965,0.00528951607319964,0.00855856547967727,0.01991207464921148,0.009798161915814157,0.757219243976007,0.3720528929219455,-0.0947164189866675,-0.05279802071009016,-0.041918398276577326,0.006797527787598402,0.9999981094714608,-0.027411107286284486,0.37841975049091686,0.5359530626144938,0.5524109008884583,-0.4895925928391767,0.42127268704849713
backtest_SPY_advanced_20251224_193349,2020-01-09,SPY,326.65,0,FLAT,0.0,0.0,0.0,0.0,1.0,100.0,0.6780705809831988,1.3072095515077375,-18.916271238328473,0.006780705809831922,0.005479114722812151,0.0060835916387051965,0.00528951607319964,0.00855856547967727,0.01991207464921148,0.009798161915814157,0.757219243976007,0.3720528929219455,-0.026350532087200815,-0.0472240456659049,0.02087351357870408,0.006797527787598402,0.9999981094714608,-0.027411107286284486,0.37841975049091686,0.5359530626144938,0.5524109008884583,-0.4895925928391767,0.42127268704849713
backtest_SPY_advanced_20251224_193349,2020-01-10,SPY,325.71,0,FLAT,0.0,0.0,-0.0,0.0,1.0,100.0,-0.2877697841726612,1.9158146817721322,-18.59936753553775,-0.0028776978417266452,0.010235414534288445,0.005679439054904541,0.00528951607319964,0.00855856547967727,0.01991207464921148,0.009798161915814157,0.757219243976007,0.3720528929219455,0.00406869617602792,-0.03707452828318276,0.04114322445921068,0.006797527787598402,0.9999981094714608,-0.027411107286284486,0.37841975049091686,0.5359530626144938,0.5524109008884583,-0.4895925928391767,0.42127268704849713
backtest_SPY_advanced_20251224_193349,2020-01-13,SPY,327.95,0,FLAT,0.0,0.0,0.0,0.0,1.0,100.0,0.6877283473028182,1.0214971794480832,-16.441530721146524,0.006877283473028184,0.013317266098133773,0.005726483607334617,0.00528951607319964,0.00855856547967727,0.01991207464921148,0.009798161915814157,0.757219243976007,0.3720528929219455,0.08221077329483406,-0.013014883565434362,0.09522565686026842,0.006797527787598402,0.9999981094714608,-0.027411107286284486,0.37841975049091686,0.5359530626144938,0.5524109008884583,-0.4895925928391767,0.42127268704849713
backtest_SPY_advanced_20251224_193349,2020-01-14,SPY,327.45,0,FLAT,0.0,0.0,-0.0,0.0,1.0,100.0,-0.15246226558926665,1.187967628645592,-15.040464193006564,-0.0015246226558927045,0.014625228519195455,0.005399095471296518,0.00528951607319964,0.00855856547967727,0.01991207464921148,0.009798161915814157,0.757219243976007,0.3720528929219455,0.13055491158962998,0.0156831769973355,0.11487173459229447,0.006797527787598402,0.9999981094714608,-0.027411107286284486,0.37841975049091686,0.5359530626144938,0.5524109008884583,-0.4895925928391767,0.42127268704849713
backtest_SPY_advanced_20251224_193349,2020-01-15,SPY,328.19,0,FLAT,0.0,0.0,0.0,0.0,1.0,100.0,0.22598870056497453,1.0755964532740192,-16.00597215027879,0.00225988700564983,0.011527199876714578,0.005067766274743332,0.00528951607319964,0.00855856547967727,0.01991207464921148,0.009798161915814157,0.757219243976007,0.3720528929219455,0.18445595586526597,0.04940944293642809,0.13504651292883788,0.006797527787598402,0.9999981094714608,-0.027411107286284486,0.37841975049091686,0.5359530626144938,0.5524109008884583,-0.4895925928391767,0.42127268704849713
backtest_SPY_advanced_20251224_193349,2020-01-16,SPY,330.92,0,FLAT,0.0,0.0,0.0,0.0,1.0,100.0,0.8318352174045578,-0.64970385591685,-14.242112897377012,0.008318352174045529,0.013072095515077375,0.00528951607319964,0.00528951607319964,0.015383671271533176,0.01991207464921148,0.009798161915814157,0.757219243976007,0.3720528929219455,0.2887698277552329,0.09695542832708028,0.1918143994281526,0.006797527787598402,0.9999981094714608,-0.027411107286284486,0.37841975049091686,0.5359530626144938,0.5524109008884583,-0.4895925928391767,0.42127268704849713
