entry_date,entry_price,exit_date,exit_price,direction,shares,sl,tp,atr,days_held,pnl,reason,capital_before,capital_after
2016-06-13,23.685866158260545,2016-06-14,22.910293234972276,LONG,1289.3694067608817,22.910293234972276,25.237012004837087,0.38778646164413516,1,-999.9999999999986,SL,100000.0,99000.0
2016-08-02,22.660387387860435,2016-08-05,24.453112393076523,LONG,1104.463871613895,21.764024885252393,24.453112393076523,0.44818125130402187,3,1980.0000000000005,TP,99000.0,100980.0
2016-08-05,22.597472847191227,2016-08-08,24.189088366201638,LONG,1268.8994143860132,21.801665087686022,24.189088366201638,0.3979038797526026,1,2019.6000000000006,TP,100980.0,102999.6
2016-08-08,22.57650133363483,2016-08-09,24.103881516690404,LONG,1348.709393282111,21.812811242107045,24.103881516690404,0.381845045763893,1,2059.992000000002,TP,102999.6,105059.592
2016-08-09,22.555529820078423,2016-08-10,23.99299617460042,LONG,1461.732883966326,21.836796642817426,23.99299617460042,0.35936658863049925,1,2101.1918400000013,TP,105059.592,107160.78384
2016-08-10,22.534558306522037,2016-08-11,23.919781726362224,LONG,1547.1985573614281,21.841946596601943,23.919781726362224,0.34630585496004657,1,2143.215676800002,TP,107160.78384,109303.9995168
2016-08-11,22.513586792965615,2016-08-12,23.84619542816994,LONG,1640.4516169151314,21.847282475363453,23.84619542816994,0.33315215880108107,1,2186.079990335999,TP,109303.9995168,111490.079507136
2016-08-12,22.492615279409215,2016-08-15,23.728259670646906,LONG,1804.5657844238071,21.87479308379037,23.728259670646906,0.30891109780942255,1,2229.801590142723,TP,111490.079507136,113719.88109727873
2016-08-15,22.47164376585281,2016-08-16,23.72109001238459,LONG,1820.324506363409,21.84692064258692,23.72109001238459,0.31236156163294476,1,2274.3976219455744,TP,113719.88109727873,115994.27871922431
2016-08-16,22.4506722522964,2016-08-17,23.658269780890127,LONG,1921.0751259867516,21.846873487999535,23.658269780890127,0.3018993821484321,1,2319.885574384484,TP,115994.27871922431,118314.1642936088
2016-08-17,19.88940329157861,2016-08-18,21.0631771925131,LONG,2015.9617486709187,19.302516341111367,21.0631771925131,0.293443475233622,1,2366.283285872177,TP,118314.1642936088,120680.44757948098
2016-08-18,19.828834256839592,2016-08-19,20.917037823148654,LONG,2217.975594195146,19.28473247368506,20.917037823148654,0.2720508915772656,1,2413.6089515896188,TP,120680.44757948098,123094.0565310706
2016-08-19,19.768265222100595,2016-08-22,20.87403108976557,LONG,2226.4036199816132,19.215382288268106,20.87403108976557,0.276441466916244,1,2461.8811306214084,TP,123094.0565310706,125555.937661692
2016-08-22,19.707696187361563,2016-08-23,20.85069756205504,LONG,2196.951647505464,19.136195500014825,20.85069756205504,0.2857503436733688,1,2511.1187532338427,TP,125555.937661692,128067.05641492584
2016-08-23,24.152662507943134,2016-09-12,23.6078302590763,LONG,2350.5777545526344,23.6078302590763,25.242327005676795,0.2724161244334157,13,-1280.670564149261,SL,128067.05641492584,126786.38585077658
2016-09-12,24.084278724937732,2016-09-14,25.771052455264595,LONG,1503.3004554346237,23.2408918597743,25.771052455264595,0.42169343258171565,2,2535.7277170155317,TP,126786.38585077658,129322.11356779211
2016-09-14,24.073758142936907,2016-09-15,26.31705278982765,LONG,1152.965917758824,22.952110819491534,26.31705278982765,0.5608236617226857,1,2586.4422713558415,TP,129322.11356779211,131908.55583914794
2016-09-15,24.510162249013728,2016-10-11,26.93865086740264,LONG,1086.3427964233788,23.295917939819272,26.93865086740264,0.6071221545972282,18,2638.1711167829576,TP,131908.55583914794,134546.7269559309
2016-10-13,27.319031629531644,2016-10-19,26.490735156987167,LONG,1624.3788476197608,26.490735156987167,28.975624574620596,0.41414823627223807,4,-1345.4672695593094,SL,134546.7269559309,133201.2596863716
2016-10-19,27.49280553378366,2016-10-26,26.64702628562021,LONG,1574.893921500306,26.64702628562021,29.184364030110558,0.42288962408172487,5,-1332.012596863715,SL,133201.2596863716,131869.24708950787
2016-10-26,27.718042430331664,2016-10-27,26.82715170585021,LONG,1480.1955331419865,26.82715170585021,29.499823879294574,0.4454453622407278,1,-1318.6924708950778,SL,131869.24708950787,130550.55461861279
