Date,Equity
2015-11-16,100000.0
2015-11-17,100000.0
2015-11-18,100000.0
2015-11-19,100000.0
2015-11-20,100000.0
2015-11-23,100000.0
2015-11-24,100000.0
2015-11-25,100000.0
2015-11-27,100000.0
2015-11-30,100000.0
2015-12-01,100000.0
2015-12-02,100000.0
2015-12-03,100000.0
2015-12-04,100000.0
2015-12-07,100000.0
2015-12-08,100000.0
2015-12-09,100000.0
2015-12-10,100000.0
2015-12-11,100000.0
2015-12-14,100000.0
2015-12-15,100000.0
2015-12-16,100000.0
2015-12-17,100000.0
2015-12-18,100000.0
2015-12-21,100000.0
2015-12-22,100000.0
2015-12-23,100000.0
2015-12-24,100000.0
2015-12-28,100000.0
2015-12-29,100000.0
2015-12-30,100000.0
2015-12-31,100000.0
2016-01-04,100000.0
2016-01-05,100000.0
2016-01-06,100000.0
2016-01-07,100000.0
2016-01-08,100000.0
2016-01-11,100000.0
2016-01-12,100000.0
2016-01-13,100000.0
2016-01-14,100000.0
2016-01-15,100000.0
2016-01-19,100000.0
2016-01-20,100000.0
2016-01-21,100000.0
2016-01-22,100000.0
2016-01-25,100000.0
2016-01-26,100000.0
2016-01-27,100000.0
2016-01-28,100000.0
2016-01-29,100000.0
2016-02-01,100000.0
2016-02-02,100000.0
2016-02-03,100000.0
2016-02-04,100000.0
2016-02-05,100000.0
2016-02-08,100000.0
2016-02-09,100000.0
2016-02-10,100000.0
2016-02-11,100000.0
2016-02-12,100000.0
2016-02-16,100000.0
2016-02-17,100000.0
2016-02-18,100000.0
2016-02-19,100000.0
2016-02-22,100000.0
2016-02-23,100000.0
2016-02-24,100000.0
2016-02-25,100000.0
2016-02-26,100000.0
2016-02-29,100000.0
2016-03-01,100000.0
2016-03-02,100000.0
2016-03-03,100000.0
2016-03-04,100000.0
2016-03-07,100000.0
2016-03-08,100000.0
2016-03-09,100000.0
2016-03-10,100000.0
2016-03-11,100000.0
2016-03-14,100000.0
2016-03-15,100000.0
2016-03-16,100000.0
2016-03-17,100000.0
2016-03-18,100000.0
2016-03-21,100000.0
2016-03-22,100000.0
2016-03-23,100000.0
2016-03-24,100000.0
2016-03-28,100000.0
2016-03-29,100000.0
2016-03-30,100000.0
2016-03-31,100000.0
2016-04-01,100000.0
2016-04-04,100000.0
2016-04-05,100000.0
2016-04-06,100000.0
2016-04-07,100000.0
2016-04-08,100000.0
2016-04-11,100000.0
2016-04-12,100000.0
2016-04-13,100000.0
2016-04-14,100000.0
2016-04-15,100000.0
2016-04-18,100000.0
2016-04-19,100000.0
2016-04-20,100000.0
2016-04-21,100000.0
2016-04-22,100000.0
2016-04-25,100000.0
2016-04-26,100000.0
2016-04-27,100000.0
2016-04-28,100000.0
2016-04-29,100000.0
2016-05-02,100000.0
2016-05-03,100000.0
2016-05-04,100000.0
2016-05-05,100000.0
2016-05-06,100000.0
2016-05-09,100000.0
2016-05-10,100000.0
2016-05-11,100000.0
2016-05-12,100000.0
2016-05-13,100000.0
2016-05-16,100000.0
2016-05-17,100000.0
2016-05-18,100000.0
2016-05-19,100000.0
2016-05-20,100000.0
2016-05-23,100000.0
2016-05-24,100000.0
2016-05-25,100000.0
2016-05-26,100000.0
2016-05-27,100000.0
2016-05-31,100000.0
2016-06-01,100000.0
2016-06-02,100000.0
2016-06-03,100000.0
2016-06-06,100000.0
2016-06-07,100000.0
2016-06-08,100000.0
2016-06-09,100000.0
2016-06-10,100000.0
2016-06-13,100000.0
2016-06-14,99000.0
2016-06-15,99000.0
2016-06-16,99000.0
2016-06-17,99000.0
2016-06-20,99000.0
2016-06-21,99000.0
2016-06-22,99000.0
2016-06-23,99000.0
2016-06-24,99000.0
2016-06-27,99000.0
2016-06-28,99000.0
2016-06-29,99000.0
2016-06-30,99000.0
2016-07-01,99000.0
2016-07-05,99000.0
2016-07-06,99000.0
2016-07-07,99000.0
2016-07-08,99000.0
2016-07-11,99000.0
2016-07-12,99000.0
2016-07-13,99000.0
2016-07-14,99000.0
2016-07-15,99000.0
2016-07-18,99000.0
2016-07-19,99000.0
2016-07-20,99000.0
2016-07-21,99000.0
2016-07-22,99000.0
2016-07-25,99000.0
2016-07-26,99000.0
2016-07-27,99000.0
2016-07-28,99000.0
2016-07-29,99000.0
2016-08-01,99000.0
2016-08-02,99000.0
2016-08-03,99000.0
2016-08-04,99000.0
2016-08-05,100980.0
2016-08-08,102999.6
2016-08-09,105059.592
2016-08-10,107160.78384
2016-08-11,109303.9995168
2016-08-12,111490.079507136
2016-08-15,113719.88109727873
2016-08-16,115994.27871922431
2016-08-17,118314.1642936088
2016-08-18,120680.44757948098
2016-08-19,123094.0565310706
2016-08-22,125555.937661692
2016-08-23,128067.05641492584
2016-08-24,128067.05641492584
2016-08-25,128067.05641492584
2016-08-26,128067.05641492584
2016-08-29,128067.05641492584
2016-08-30,128067.05641492584
2016-08-31,128067.05641492584
2016-09-01,128067.05641492584
2016-09-02,128067.05641492584
2016-09-06,128067.05641492584
2016-09-07,128067.05641492584
2016-09-08,128067.05641492584
2016-09-09,128067.05641492584
2016-09-12,126786.38585077658
2016-09-13,126786.38585077658
2016-09-14,129322.11356779211
2016-09-15,131908.55583914794
2016-09-16,131908.55583914794
2016-09-19,131908.55583914794
