Entry Date,Exit Date,Direction,Size,Entry Price,Exit Price,PnL ($),Return (%),Exit Reason
2020-08-06,2020-08-07,short,1.0,334.33,334.57,-71.78536176831547,-0.07178536176831547,open
2020-08-07,2020-08-10,short,0.7982756,334.57,335.57,-238.59749080909825,-0.23859749080909826,open
2020-08-10,2020-08-27,long,1.0,335.57,348.33,3802.48532347945,3.8024853234794502,open
2020-08-27,2020-08-28,long,0.6178555,348.33,350.58,399.0970897074972,0.39909708970749724,open
2020-08-28,2020-10-02,long,1.0,350.58,333.84,-4774.944377888074,-4.774944377888074,open
2020-10-02,2020-10-05,short,1.0,333.84,339.76,-1773.3045770428998,-1.7733045770428997,open
2020-10-05,2020-11-06,long,1.0,339.76,350.16,3060.9842241582396,3.0609842241582395,open
2020-11-06,2020-11-12,short,1.0,350.16,353.21,-871.0303861091942,-0.8710303861091941,open
2020-11-12,2020-11-13,long,0.7940762,353.21,358.1,1099.3551939267813,1.0993551939267814,open
2020-11-13,2021-02-05,long,1.0,358.1,387.71,8268.640044680245,8.268640044680245,open
2021-02-05,2021-02-08,short,1.0,387.71,390.51,-722.1892651724256,-0.7221892651724255,open
2021-02-09,2021-02-10,short,1.0,390.25,390.08,43.56181934657679,0.04356181934657679,open
2021-02-10,2021-02-11,long,0.8204068,390.08,390.71,132.50007230087323,0.13250007230087324,open
2021-02-11,2021-02-12,short,1.0,390.71,392.64,-493.9725115814817,-0.4939725115814817,open
2021-02-12,2021-03-11,long,1.0,392.64,393.53,226.6707416462883,0.2266707416462883,open
2021-03-11,2021-03-12,short,1.0,393.53,394.06,-134.67842350012188,-0.13467842350012188,open
2021-03-12,2021-03-15,long,0.70510405,394.06,396.41,420.4929571321667,0.42049295713216667,open
2021-03-15,2021-03-16,short,1.0,396.41,395.91,126.13203501425292,0.1261320350142529,open
2021-03-16,2021-03-17,long,0.19109313,395.91,397.26,65.16019265742048,0.06516019265742047,open
2021-03-17,2021-03-18,short,1.0,397.26,391.48,1454.966520666559,1.454966520666559,open
2021-03-18,2021-07-26,long,1.0,391.48,441.02,12654.541739041575,12.654541739041575,open
2021-07-26,2021-07-27,short,1.0,441.02,439.01,455.7616434628794,0.45576164346287945,open
2021-07-27,2021-07-28,long,1.0,439.01,438.83,-41.00134393294157,-0.041001343932941574,open
2021-07-28,2021-07-29,short,0.19722255,438.83,440.65,-81.79591666334314,-0.08179591666334314,open
2021-07-29,2021-12-27,long,1.0,440.65,477.26,8308.181096108026,8.308181096108026,open
2021-12-27,2021-12-28,long,0.7681392,477.26,476.87,-62.76962144585541,-0.0627696214458554,open
2021-12-28,2021-12-31,short,1.0,476.87,474.96,400.52844590769496,0.400528445907695,open
2021-12-31,2022-01-03,long,0.23988043,474.96,477.71,138.8898394897728,0.13888983948977282,open
2022-01-03,2022-01-04,long,0.344914,477.71,477.55,-11.552246655918658,-0.011552246655918658,open
2022-01-04,2022-01-05,short,0.7330218,477.55,468.38,1407.5614861990916,1.4075614861990917,open
2022-01-05,2022-01-28,long,1.0,468.38,441.95,-5642.854092830609,-5.642854092830609,open
2022-01-28,2022-02-09,short,1.0,441.95,457.54,-3527.5483651996906,-3.5275483651996904,open
2022-02-09,2022-02-28,long,1.0,457.54,436.63,-4570.092232373131,-4.570092232373131,open
2022-02-28,2022-03-04,short,1.0,436.63,432.17,1021.4598172365571,1.0214598172365572,open
2022-03-04,2022-03-15,long,1.0,432.17,426.17,-1388.342550385265,-1.388342550385265,open
2022-03-15,2022-03-23,short,1.0,426.17,443.8,-4136.846798226059,-4.136846798226059,open
2022-03-23,2022-03-30,long,1.0,443.8,458.7,3357.368183866601,3.357368183866601,open
2022-03-30,2022-03-31,short,1.0,458.7,451.64,1539.1323304992375,1.5391323304992375,open
2022-03-31,2022-04-20,long,1.0,451.64,444.71,-1534.40793552387,-1.53440793552387,open
2022-04-20,2022-04-21,short,1.0,444.71,438.06,1495.3565244766203,1.4953565244766203,open
2022-04-21,2022-04-22,long,0.41889828,438.06,426.04,-1149.4218464650944,-1.1494218464650943,open
2022-04-22,2022-05-06,long,1.0,426.04,411.34,-3450.380245986303,-3.450380245986303,open
2022-05-06,2022-05-09,short,1.0,411.34,398.17,3201.730928185919,3.2017309281859188,open
2022-05-09,2022-05-10,long,1.0,398.17,399.09,231.0570861692139,0.23105708616921392,open
2022-05-10,2022-05-11,short,0.56782985,399.09,392.75,902.0624945187766,0.9020624945187766,open
