Entry Date,Exit Date,Direction,Entry Price,Exit Price,PnL ($),Return (%),Exit Reason
2021-02-01,2021-02-04,long,376.23,386.19,1857.0185392996284,1.8570185392996283,close
2021-02-12,2021-02-25,short,392.64,382.33,1894.0237067275284,1.8940237067275285,close
2021-02-26,2021-03-19,long,380.36,389.48,-1810.665593718791,-1.810665593718791,close
2021-03-22,2021-03-24,short,392.59,387.52,971.388431278911,0.971388431278911,close
2021-03-25,2021-03-29,long,389.7,395.78,1165.1813792682728,1.1651813792682728,close
2021-04-05,2021-04-06,short,406.36,406.12,43.94733451696095,0.04394733451696095,close
2021-04-07,2021-04-20,short,406.59,412.17,-1009.6916616498632,-1.0096916616498632,close
2021-04-21,2021-04-22,short,416.07,412.27,664.913491339798,0.664913491339798,close
2021-04-23,2021-05-17,short,416.74,415.52,-204.88493441389056,-0.20488493441389055,close
2021-05-20,2021-05-21,long,415.28,414.94,-56.74935270377131,-0.0567493527037713,close
2021-05-24,2021-05-26,long,419.17,419.07,-16.72107949241649,-0.01672107949241649,close
2021-05-27,2021-05-28,long,419.29,420.04,125.3126148648349,0.12531261486483491,close
2021-06-02,2021-06-15,long,420.33,424.48,-697.9504322676318,-0.6979504322676318,close
2021-06-16,2021-06-22,long,422.11,423.11,-163.43967088840242,-0.16343967088840242,close
2021-06-23,2021-06-24,short,422.6,425.1,-408.20883399566117,-0.40820883399566116,close
2021-06-25,2021-06-28,short,426.61,427.47,-138.4712120731702,-0.1384712120731702,close
2021-06-29,2021-06-30,short,427.7,428.06,-57.72808971355484,-0.05772808971355484,close
2021-07-01,2021-07-06,short,430.43,432.93,-396.4661708473223,-0.39646617084732233,close
2021-07-07,2021-07-08,short,434.46,430.92,553.6689657623909,0.5536689657623909,close
2021-07-09,2021-07-15,long,435.52,434.75,117.39861624396588,0.11739861624396589,close
2021-07-16,2021-07-23,long,431.34,439.94,-1370.0313892009067,-1.3700313892009068,close
2021-07-26,2021-07-29,long,441.02,440.65,57.60739466215086,0.05760739466215086,close
2021-07-30,2021-08-04,long,438.51,438.98,-74.77186309932772,-0.0747718630993277,close
2021-08-05,2021-08-06,short,441.76,442.49,-114.43604522991414,-0.11443604522991413,close
2021-08-09,2021-08-24,long,442.13,447.97,-911.3272948707552,-0.9113272948707553,close
2021-08-25,2021-08-27,short,448.91,450.25,203.27097836075367,0.20327097836075367,close
2021-08-30,2021-08-31,short,452.23,451.56,101.2317016475598,0.1012317016475598,close
2021-09-01,2021-09-03,short,451.8,453.08,-193.33254123297584,-0.19333254123297586,close
2021-09-07,2021-09-09,short,451.46,448.98,377.4367587988781,0.37743675879887806,close
2021-09-10,2021-10-04,long,445.44,428.64,-2498.147561587245,-2.498147561587245,close
2021-10-05,2021-10-08,long,433.1,437.86,-741.7769006855256,-0.7417769006855255,close
2021-10-15,2021-10-18,short,445.87,447.19,-201.0567562436368,-0.20105675624363684,close
2021-10-19,2021-10-20,short,450.64,452.41,-264.4226256008979,-0.2644226256008979,close
